Epoch,Model1_acc,Model2_acc,Model3_acc,Model4_acc,Model5_acc,Model6_acc
,0.404494382,0.421348315,0.421348315,0.553370787,0.425561798,0.471910112
,0.39747191,0.407303371,0.408707865,0.537921348,0.41011236,0.463483146
,0.384831461,0.390449438,0.39747191,0.52247191,0.407303371,0.452247191
,0.372191011,0.383426966,0.390449438,0.505617978,0.390449438,0.426966292
,0.349719101,0.376404494,0.370786517,0.494382022,0.376404494,0.411516854
,0.345505618,0.372191011,0.366573034,0.474719101,0.363764045,0.414325843
,0.325842697,0.35252809,0.356741573,0.473314607,0.356741573,0.390449438
,0.321629213,0.341292135,0.33988764,0.463483146,0.344101124,0.379213483
,0.320224719,0.337078652,0.332865169,0.45505618,0.338483146,0.363764045
,0.30758427,0.314606742,0.325842697,0.43258427,0.327247191,0.353932584
,0.30758427,0.30758427,0.30758427,0.429775281,0.31741573,0.344101124
,0.29494382,0.29494382,0.293539326,0.401685393,0.316011236,0.327247191
,0.28511236,0.286516854,0.292134831,0.396067416,0.299157303,0.328651685
,0.276685393,0.275280899,0.282303371,0.380617978,0.289325843,0.316011236
,0.269662921,0.276685393,0.278089888,0.375,0.28511236,0.311797753
,0.261235955,0.259831461,0.265449438,0.362359551,0.271067416,0.301966292
,0.261235955,0.254213483,0.257022472,0.365168539,0.266853933,0.287921348
,0.25,0.244382022,0.244382022,0.33988764,0.255617978,0.287921348
,0.247191011,0.237359551,0.238764045,0.341292135,0.242977528,0.271067416
,0.242977528,0.230337079,0.230337079,0.33988764,0.241573034,0.268258427
,0.224719101,0.220505618,0.223314607,0.325842697,0.22752809,0.262640449
,0.223314607,0.212078652,0.213483146,0.318820225,0.228932584,0.255617978
,0.216292135,0.203651685,0.20505618,0.310393258,0.217696629,0.251404494
,0.216292135,0.200842697,0.202247191,0.306179775,0.221910112,0.238764045
,0.198033708,0.19241573,0.191011236,0.29494382,0.20505618,0.231741573
,0.193820225,0.185393258,0.183988764,0.292134831,0.206460674,0.230337079
,0.181179775,0.181179775,0.189606742,0.287921348,0.198033708,0.226123596
,0.174157303,0.179775281,0.181179775,0.282303371,0.19241573,0.217696629
,0.172752809,0.171348315,0.18258427,0.280898876,0.188202247,0.217696629
,0.164325843,0.167134831,0.171348315,0.273876404,0.179775281,0.209269663
,0.16011236,0.158707865,0.168539326,0.264044944,0.16994382,0.202247191
,0.157303371,0.158707865,0.16994382,0.262640449,0.165730337,0.199438202
,0.150280899,0.150280899,0.154494382,0.257022472,0.162921348,0.19241573
,0.143258427,0.146067416,0.148876404,0.257022472,0.151685393,0.195224719
,0.14747191,0.143258427,0.14747191,0.25,0.139044944,0.186797753
,0.139044944,0.139044944,0.140449438,0.240168539,0.144662921,0.186797753
,0.126404494,0.134831461,0.140449438,0.234550562,0.139044944,0.18258427
,0.126404494,0.132022472,0.132022472,0.22752809,0.134831461,0.174157303
,0.123595506,0.132022472,0.133426966,0.217696629,0.133426966,0.165730337
,0.110955056,0.126404494,0.130617978,0.209269663,0.129213483,0.161516854
,0.110955056,0.115168539,0.133426966,0.207865169,0.119382022,0.162921348
,0.109550562,0.115168539,0.125,0.20505618,0.126404494,0.157303371
,0.112359551,0.105337079,0.117977528,0.200842697,0.119382022,0.14747191
,0.110955056,0.106741573,0.119382022,0.193820225,0.119382022,0.14747191
,0.103932584,0.099719101,0.110955056,0.195224719,0.115168539,0.143258427
,0.098314607,0.098314607,0.106741573,0.188202247,0.110955056,0.140449438
,0.094101124,0.095505618,0.099719101,0.181179775,0.105337079,0.139044944
,0.096910112,0.094101124,0.099719101,0.176966292,0.101123596,0.133426966
